iteracija,u1,u2,vrijednost
1,493.4677783807214,271.828114245615,-2.8159649978514054e+283
2,493.4677783807214,271.828114245615,-2.8159649978514054e+283
3,493.4677783807214,271.828114245615,-2.8159649978514054e+283
4,493.4677783807214,271.828114245615,-2.8159649978514054e+283
5,493.4677783807214,271.828114245615,-2.8159649978514054e+283
6,493.4677783807214,271.828114245615,-2.8159649978514054e+283
7,493.4677783807214,271.828114245615,-2.8159649978514054e+283
8,493.4677783807214,271.828114245615,-2.8159649978514054e+283
9,493.4677783807214,271.828114245615,-2.8159649978514054e+283
10,493.4677783807214,271.828114245615,-2.8159649978514054e+283
11,493.4677783807214,271.828114245615,-2.8159649978514054e+283
12,493.4677783807214,271.828114245615,-2.8159649978514054e+283
13,493.4677783807214,271.828114245615,-2.8159649978514054e+283
14,493.4677783807214,271.828114245615,-2.8159649978514054e+283
15,401.33103589929476,343.3692729013178,-4.443315790846398e+292
16,401.33103589929476,343.3692729013178,-4.443315790846398e+292
17,401.33103589929476,343.3692729013178,-4.443315790846398e+292
18,401.33103589929476,343.3692729013178,-4.443315790846398e+292
19,401.33103589929476,343.3692729013178,-4.443315790846398e+292
20,401.33103589929476,343.3692729013178,-4.443315790846398e+292
21,401.33103589929476,343.3692729013178,-4.443315790846398e+292
22,401.33103589929476,343.3692729013178,-4.443315790846398e+292
23,401.33103589929476,343.3692729013178,-4.443315790846398e+292
24,401.33103589929476,343.3692729013178,-4.443315790846398e+292
25,401.33103589929476,343.3692729013178,-4.443315790846398e+292
26,401.33103589929476,343.3692729013178,-4.443315790846398e+292
27,401.33103589929476,343.3692729013178,-4.443315790846398e+292
28,401.33103589929476,343.3692729013178,-4.443315790846398e+292
29,401.33103589929476,343.3692729013178,-4.443315790846398e+292
30,401.33103589929476,343.3692729013178,-4.443315790846398e+292
31,401.33103589929476,343.3692729013178,-4.443315790846398e+292
32,401.33103589929476,343.3692729013178,-4.443315790846398e+292
33,386.12258572234776,351.3593863934918,-2.182902732125056e+293
34,386.12258572234776,351.3593863934918,-2.182902732125056e+293
