iteracija,u1,u2,u3,vrijednost
1,0.9717612026455075,0.22491156559464295,25046.003284491886,-10417894.208208
2,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
3,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
4,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
5,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
6,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
7,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
8,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
9,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
10,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
11,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
12,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
13,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
14,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
15,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
16,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
17,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
18,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
19,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
20,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
21,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
22,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
23,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
24,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
25,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
26,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
27,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
28,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
29,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
30,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
31,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
32,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
33,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
34,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
35,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
36,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
37,2.19729016028486,0.7586423898520857,24982.582932569123,-10417966.029891
